"","address","price","area","noroom","description","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Építés éve","Panelprogram"
"11","V. kerület, Molnár utca","94 millió Ft","105 m²","3","BELVÁROS  SZÍVÉBEN, pár perc sétára a  DUNAPARTHOZ,  a SÉTÁLÓ VÁCI UTCÁHOZ ,  a híres   VÁSáRCSARNOKHOZ-   egy tágas, szép elrendezésu, 2 hálószoba, nappalis polgári lakást kínálok eladásra.A nappaliszoba és a két hálószoba utcai kilátású, a nagyméretu konyha  udvari kilátású, fürdoszoba kádas, Wc-vel, külön Wc és kamra is van a lakásban, ami egy második fürdoszoba kialakítására is alkalmas. A nyüzsgo belváros csendes utcája a Molnár utca, a környéken számtalan hangulatos étterem és kávézó megtalálható.Nemcsak  családi otthonnak, de kiadásra is kiváló befektetés az 5. kerület ezen részén , ahol a közelben több egyetem is megtalálható. ( Corvinus, Muszaki, Elte ). A társasházban a rövid távú ingatlan bérbeadás is engedélyezett.  In the heart of the city center, a few minutes walk to he bank of the DANUBE  and to the pedastrian VÁCI STREET  and world famous  shopping MARKET HALL ,  - i offer for sale a spacious apartment with a nice layout.The livingroom and the 2 bedrooms have a street view, the large kitchen has a courtyard view.Bathroom with tub bath and toilet, there is a pantry and separated toilet also , what is suitable for a second bathroom if need. The Molnár street is a quiet street in the vibrant downtown, there are plenty cozy restaurants and cafe in this area. The property an excellent investment, not only for families, but also for rent in this part of the 5 th District, where several Universities nearby. Short term rental are allowed in the condominium.","jó állapotú","nincs megadva","nincs megadva","2","3","nincs megadva","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","északnyugat","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,"1950 elott",NA
"12","XI. kerület, Móricz Zsigmond körtér","94 millió Ft","105 m²","4 + 1 fél","XI. kerületben a Móricz Zsigmond körtéren szépen felújított nagypolgári ház 1. emeletén 105 m2-es, 4+1 szobás, összkomfortos, ERKÉLYES öröklakás eladó!Kiváló elosztású, minden szoba külön bejáratú (31, 21, 20, 12 és 7 négyzetméteresek), délkeleti tájolásának köszönhetoen világos, 3 m2-es erkéllyel rendelkezik. 3,7 méteres belmagasságának és az eredeti nyílászáróinak köszönhetoen a környékbeli lakások eredeti stílusjegyeit megorizte.Jelenlegi állapota közepes, azonban futése gázcirkó, a kémény bélelve van.A társasház 5 emeletes patinás épület, lifttel rendelkezik. A közös költség 20.000 Ft.A lakás BEFEKTETÉS céljára is alkalmas, kiváló lehet kiadásra diákoknak, de irodának vagy rendelonek is tökéletes.A környék infrastrukturális ellátottsága kiemelkedoen jó, Buda kulturális központja, az Allee bevásárlóközpont, a közkedvelt Bartók Béla út; egyetemek és sportolási lehetoségek, valamint a Gellért hegy és a Feneketlen-tó fantasztikus közelsége percek alatt elérheto.Tömegközlekedés szempontjából is ideális: az éjjel nappal közlekedo 4/6-os villamos, a 4-es metró és számos egyéb trolijárat a lakástól pár percre található.Kérdés vagy megtekintés esetén keressen bizalommal!M202873","közepes állapotú","összkomfortos","nincs megadva","1","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","délkelet","utcai","3 m²","nincs megadva","nincs megadva","nincs megadva",NA,"1950 elott",NA
"13","XI. kerület, Szentimreváros","94 millió Ft","105 m²","4 + 1 fél","Móricz Zsigmond körtéren szépen felújított nagypolgári ház elso emeletén 4+félszobás összkomfortos öröklakás ELADÓ! Kiváló lehetoségekkel bír (minden szoba külön bejáratú). A lakás befektetés céljára is alkalmas.A környék infrastrukturális ellátottsága kiemelkedoen jó, Buda kulturális központja,  Allee bevásárlóközpont, egyetemek és  sportolási lehetoségek, valamint a Gellért hegy és a Feneketlen-tó fantasztikus közelsége percek alatt elérhetoAz OTP Bank Vevoinket szükség és igény esetén kedvezményes hitelkonstrukció lehetoségeivel támogatja az ingatlan megvásárlásához, továbbá teljes köru ügyintézéssel állunk az eladók és a vevok rendelkezésére, az ügyintézés irodánkban kérheto. A kínálatunkból választott ingatlan finanszírozásához hitel- lízing megoldásokat kínálunk. Amennyiben felkeltettem érdeklodését, hívjon bizalommal! Ha az új ingatlana megvásárlásához a jelenlegi ingatlanát el kell adnia, abban is szívesen segítünk.M202873Referencia szám: M202873","közepes állapotú","összkomfortos","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","panorámás","3 m²","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"14","VI. kerület, Nagymezo utca","94 millió Ft","109 m²","3","VI. kerület, Nagymezo utcában, a Hard Rock Hotel szomszédságában, egy rövidesen megújuló liftes társasházban ELADÓ egy 3. emeleti 109 négyzetméteres, 3 szobás nagypolgári lakás. A lépcson vagy lifttel felérve a hangulatos, zöld növényekkel teli körfolyosón át érünk az ingatlan ráccsal védett bejárati ajtajához. Az elotérbol jutunk a hallba és a tágas konyhába, melyhez egy praktikus kamra is tartozik. Itt a nagymama minden befottje elfér! A hallból nyílik a két hatalmas, napfényes szoba, melyek a Nagymezo, illetve az Ó utcára néznek. Az eloszobából közelíthetjük meg a kádas fürdoszobát és WC-t, mely külön helyiségben kapott helyet. A 3.65 méteres belmagasságnak köszönhetoen a harmadik szobában fekvogaléria került kialakításra. Az egész lakás vintage stílusban van berendezve. A bútorok nem képezik a vételár részét, azokat a tulajdonosok nagy gonddal gyujtötték össze az évek során. A lakás melegét gázkonvektor biztosítja, a melegvizet gázkazán szolgáltatja. Nyílászárói az eredetileg beépített, de jó állapotú fa nyílászárók. Minden szoba parketta borítású, az összes többi helyiség hidegburkolattal rendelkezik. A közös költség havi díja 22.800 Ft, mely tartalmazza korlátlan vízfogyasztást, a szemétszállítást, a társasház általános karbantartási költségeit és a felújítási alapot is. A lakáshoz tartozik egy 10 nm-es zárható tároló a pincében. A jól karbantartott társasház egésze hamarosan megújul, beépítésre kerül a tetotér, ami óriási értéknövelo tényezo. Ennek köszönhetoen felújításra fog kerülni a ház teljes homlokzata, a belso udvar, a lift és a pince is.  Az ingatlan elhelyezkedése rendkívül kedvezo tömegközlekedés szempontjából, könnyen elérheto a 70-es, 78-as trolibusz, M1 metró (Opera ill. Oktogon megállók), 105-ös autóbusz, 4-6-os villamosok. A szórakozás kedveloi is megtalálják számításukat, hisz jópár színház található a közelben. Az Andrássy út közelsége miatt a bevásárlás élménnyé válik. A gasztronómia kedveloi számtalan étterem közül választhatnak. Szívesen ajánlom ezt az ingatlant lakhatás céljára a belváros kedveloinek és a kultúra rajongóinak, akár több generáció összeköltözése esetén. Befektetési célra is kiváló, de a remek lokáció miatt  - átalakítás után -alkalmas irodának, rendelonek vagy egyéb üzleti célra is.Jöjjön el, nézze meg, szeressen bele és legyen Öné a pesti Broadway egyik lakása! Megtekintéssel kapcsolatban kérem forduljon hozzám bizalommal a hét bármely napján! Referenciaszám: LK026041","közepes állapotú","összkomfortos","nincs megadva","3","3","van","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","külön helyiségben","délnyugat","utcai","nincs megadva","nem","nem tetotéri","utca, közterület",NA,"1950 elott",NA
"15","XIII. kerület, Újlipótváros","94 millió Ft","116 m²","4","Budapesten, a XIII. kerületben, Újlipótváros kedvelt részén, közel a Szent István krt.-hoz és Westend-hez eladó egy csendes utcára nézo, két lakássá átalakított, liftes házban lévo, második emeleti ingatlan. A lakás 116 nm nagyságú. Két külön bejáratának és jó elrendezésének köszönhetoen sikerült kevés átalakítással kialakítani egy 81 nm-es és egy 35 nm-es önálló lakást. A régi állapot visszaállítható. A lakásról web oldalunkon több információ, több, jobb minoségu fotó áll rendelkezésre.A keresonkben Budapest, XIII. kerület, eladó lakás kijelölésekkel található meg az ingatlan, illetve több kerületben fellelhetoek hasonló házak, lakások.Irodánk teljes köru ügyintézéssel áll rendelkezésre!A kínálatunkból választott ingatlan finanszírozásához, igény esetén kedvezményes hitelkonstrukciókat kínálunk. Az adásvételi szerzodés megkötéséhez, szintén igény szerint megbízható ügyvédi közremuködést biztosítunk, és segítséget nyújtunk az adásvételhez kapcsolódó ügyek intézéséhez.Full extrás szolgáltatásaink mellett saját, hivatalos weblapunkon,  új építésu, illetve félkész, vagy készülo ingatlanokat is megmutatunk, minden felmerülo igényt igyekszünk kiszolgálni.                                Közel 100 ingatlan közül válogathat.  Vártuk már, köszönjük, hogy ránk talált.Hátradolhet, Ön itt fog lakni. Keresse meg  honlapunkon új otthonát.","jó állapotú","duplakomfortos","nincs megadva","2","5","van","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","igen","külön és egyben is","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,"1950 elott",NA
"16","XI. kerület, Szentimreváros","94 millió Ft","105 m²","4 + 1 fél","Bp.XI. ker-ben a Móricz Zsigmond körtéren szépen felújított nagypolgári ház elso emeletén 4+félszobás összkomfortos lakás, mely jelenlegi kialakításában inkább irodaként hasznosítható -  ELADÓ !  Minden szoba külön bejáratú. A lakás befektetés céljára is alkalmas.A környék infrastrukturális ellátottsága kiemelkedoen jó, Buda kulturális központja,  Allee bevásárlóközpont, egyetemek és  sportolási lehetoségek, valamint a Gellért hegy és a Feneketlen-tó fantasztikus közelsége percek alatt elérhetoAz OTP Bank Vevoinket szükség és igény esetén kedvezményes hitelkonstrukció lehetoségeivel támogatja az ingatlan megvásárlásához, továbbá teljes köru ügyintézéssel állunk az eladók és a vevok rendelkezésére, az ügyintézés irodánkban kérheto. A kínálatunkból választott ingatlan finanszírozásához hitel- lízing megoldásokat kínálunk. Amennyiben felkeltettem érdeklodését, hívjon bizalommal! Ha az új ingatlana megvásárlásához a jelenlegi ingatlanát el kell adnia, abban is szívesen segítünk.M202873","közepes állapotú","összkomfortos","nincs megadva","1","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","panorámás","3 m²","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"17","XI. kerület, Szentimreváros","94 millió Ft","105 m²","4 + 1 fél","Móricz Zsigmond körtéren szépen felújított nagypolgári ház elso emeletén 4+félszobás összkomfortos öröklakás ELADÓ! Kiváló lehetoségekkel bír (minden szoba külön bejáratú). A lakás befektetés céljára is alkalmas.A környék infrastrukturális ellátottsága kiemelkedoen jó, Buda kulturális központja,  Allee bevásárlóközpont, egyetemek és  sportolási lehetoségek, valamint a Gellért hegy és a Feneketlen-tó fantasztikus közelsége percek alatt elérhetoAz OTP Bank Vevoinket szükség és igény esetén kedvezményes hitelkonstrukció lehetoségeivel támogatja az ingatlan megvásárlásához, továbbá teljes köru ügyintézéssel állunk az eladók és a vevok rendelkezésére, az ügyintézés irodánkban kérheto. A kínálatunkból választott ingatlan finanszírozásához hitel- lízing megoldásokat kínálunk. Amennyiben felkeltettem érdeklodését, hívjon bizalommal! Ha az új ingatlana megvásárlásához a jelenlegi ingatlanát el kell adnia, abban is szívesen segítünk.M202873","nincs megadva","összkomfortos","nincs megadva","nincs megadva","5","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","panorámás","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA
"18","V. kerület, Hold utca","94 millió Ft","86 m²","2 + 1 fél","RITKA LEHETOSÉG! Befektetési ingatlan!Eladásra kínálunk a Parlament szomszédságában pár perc sétára a Duna partól, a Hold utcában , szép, igényes társasház 1. emeletén egy 86 nm-es felújítandó, jól alakítható, csendes belso udvari nézetu, hangulatos 2,5 szobás lakást!Új tulajdonosa a felújítás után akár exkluzív helyen található iroda vagy kellemes családi élettér esetleg kituno befektetésként kiadó lakásként is hasznosíthatja.Belmagassága 3,8 méter.Közelben található a Hold utcai piac ,boltok , és éttermek egyaránt.Tömegközlekedéssel is jól megközelítheto(metro3, buszok)Várjuk hívását!","felújítandó","összkomfortos","nincs megadva","1","5","van","3 m-nél magasabb","gáz (konvektor)","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva","utca, közterület - fizetos övezet",NA,"1950 és 1980 között",NA
"19","XI. kerület, Szentimreváros","94 millió Ft","105 m²","4 + 1 fél","Móricz Zsigmond körtéren szépen felújított nagypolgári ház elso emeleténeladó egy  4+1szobás összkomfortos lakás. Szépen felújított lakás hangulatát emelik az eredeti nyílászárók. Minden szoba külön bejáratú, a szobák parketta borításúak. A lakás melegérol gáz cirkó gondoskodik radiátoros holeadással. Irodának, lakásnak, valamint befektetés céljára is alkalmas. A környék infrastrukturális ellátottsága kiemelkedoen jó, Buda kulturális központja, Allee bevásárlóközpont, egyetemek és sportolási lehetoségek, valamint a Gellért hegy és a Feneketlen-tó fantasztikus közelsége percek alatt elérheto Az OTP Bank Vevoinket szükség és igény esetén kedvezményes hitelkonstrukció lehetoségeivel támogatja az ingatlan megvásárlásához, továbbá teljes köru ügyintézéssel állunk az eladók és a vevok rendelkezésére, az ügyintézés irodánkban kérheto. A kínálatunkból választott ingatlan finanszírozásához hitel- lízing megoldásokat kínálunk. Amennyiben felkeltettem érdeklodését, hívjon bizalommal!","jó állapotú","összkomfortos","nincs megadva","1","5","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","20 E Ft/hó","nincs megadva","nincs megadva","délkelet","panorámás","nincs megadva","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA,"1950 elott",NA
"20","II. kerület, Boróka utca","94 millió Ft","88 m²","3","II. kerület Vérhalom térhez közel, nagyon fényes , nagy belmagassággal rendelkezo duplex lakás eladó saját 1db garázzsal és 1 db kocsibeállóval. A ház egy zsákutca utolsó háza, így maximálisan csöndes, de mégis közel esik a Kolosy térhez és a Margit hídhoz. A lakás egy 6 lakásos osztatlan közös ház felso emeletén helyezkedik el. Kilátás a Pilis felé és Árpád hídra esik. Az ingatlan alsó szintjén helyezkedik el a konyha, étkezo, nappali, kádas fürdo és a terasz. A felso szinten egy zuhanyzós fürdo és 2 hálószoba található. A feltüntetett ár a garázs és kocsibeálló árát  tartalmazza. INGATLANOSOK NE KERESSENEK!","újszeru","duplakomfortos","nincs megadva","2","2","nincs","3 m-nél magasabb","gázkazán","van","30 E Ft/hó","nem","külön és egyben is","északkelet","panorámás","8 m²","nem","zárószint","önálló garázs - benne van az árban",NA,"1981 és 2000 között",NA
"21","VIII. kerület, Corvin sétány","94 millió Ft","60 m²","1 + 2 fél","Eladó KIVÁLÓ HELYEN, a CORVIN SÉTÁNYON, a City Gardenben, egy 9. emeleti, CSENDES, 60 nm-es lakás.        AMERIKAI KONYHÁS NAPPALI és 2 KÜLÖN NYÍLÓ HÁLÓSZOBA elosztású.        A nappaliból nyílik a 6 nm-es ERKÉLY. Az ingatlan LÉGKONDICIONÁLT.   A hatalmas ablakoknak köszönhetoen nagyon VILÁGOS a lakás.    Elektromos redony található a nappali ablakán.Közös ktg.+rezsi ktg.: kb. 40.000 Ft.A vételár tartalmazza a képen látható berendezési tárgyakat.Tehermentes, a szerzodéskötés után, azonnal birtokba veheto.Hívjon bátran!BEAUTIFUL flat with BALCONY on CORVIN SÉTÁNY!        A 60 sqm, BRIGHT and QUIET flat, on the 9th floor is waiting for a new owner.  OPEN-PLAN KITCHEN and 2 SEPARATED BEDROOMS. There is a 6 sqm BALCONY.        AIR-CONDITIONED, FURNISHED, EQUIPPED.        Common cost+utility cost: around 40,000 HUF.","jó állapotú","összkomfortos","nincs megadva","9","9","van","nincs megadva","házközponti egyedi méréssel","van","nincs megadva","igen","külön helyiségben","nincs megadva","panorámás","6 m²","nem","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"22","XI. kerület, Kelenvölgy","94 millió Ft","93 m²","4","Budán, a XI. kerület kertvárosi részében, Kelenvölgyben ELADÓ egy kétszintes, kis kertes + fedett teraszos lakás.Lakás típusa: téglaAlapterület: nettó 93 nm, bruttó 123 nmSzobák száma: 4Futés: huto-futo klíma + gázcirkóÁllapot: jóA lakás Kelenvölgy csendes utcájában helyezkedik el egy négylakásos házban. A lakáshoz tartozik egy garázs és egy gépkocsi beálló is. A lakás helyiségei:– nappali– 3 szoba– konyha– 2 fürdoszoba (a földszinten zuhanyzós, emeleten kádas)– közlekedoTájolás: DBelmagasság: földszinten: 3,5 m, emeleten: 2,8 mSzinte minden energiafelhasználás az egy éve telepített 14 egységes napelemes rendszerrel lett kiváltva, így a futés és a villanyhasználat teljes mértékben nullás költségu, a rendszer plusz pénzt termel. Ezzel a megoldással az energiatanúsítvány AA minosítésu lett. A napelemes rendszer miatt a futés huto-futo klímával muködik, de eredetileg van kiépített gázcirkós futésrendszer minden helyiségben két db ho leadó egységgel. A tetoszerkezet és a cserepek is pár éve kerültek felújításra. A lakás dupla-komfortos, a földszinten és az emeleten is található fürdoszoba+wc. Nagyon jó a közlekedés, autóval két perc alatt elérheto az elkerülo, tömegközlekedéssel pedig több autóbusszal elérhetjük a 4-es metrót 5 percen belül, az Allee-t 10 percen belül, valamint a Savoya-park felé is közlekedik kituno buszjárat.A lakás adottsága kituno lehetoség arra, hogy az utcai bejárattal akár egy vállalkozás irodája legyen, emeleti lakással.Érdekli Önt ez az ingatlan? Kérem hívjon akár hétvégén is!Örökös Beáta+","jó állapotú","duplakomfortos","AA","nincs megadva","2","nincs megadva","3 m-nél alacsonyabb","megújuló energia, gáz (cirko)","van","nincs megadva","nincs megadva","egy helyiségben","dél","utcai","20 m²","igen","nincs megadva","önálló garázs - benne van az árban",NA,"2001 és 2010 között",NA
"23","V. kerület, Hold utca","94 millió Ft","86 m²","2 + 1 fél","Budapest belvárosában, az V. kerület kiemelt részén, karnyújtásnyira a Parlamenttol és a Duna parttól kínálunk eladásra egy 1. emeleti, 86 nm-es, 2,5 szobás,  tágas terekkel, fürdo és különálló mellékhelyiséggel rendelkezo felújítandó nagypolgári, 3,8 m belmagasságú ingatlant. A lakás futését gázfutés biztosítja.Az épület kívülrol felújított állapotú, belso udvara rendezett, térkövezett, folyosói rendkívül szélesek, a lépcsoház színes,  egyedi stukkókkal díszített és lifttel rendelkezik.Az ingatlan az utca zajától mentes,rendkívül biztonságos, a környéken számos kultúrális létesítmény található.A lakóközösség kiváló, több ügyvédi iroda és egy magánklinika is megtalálható az épületben.Tökéletes otthon lehet a nyüzsgo belvárosi élet közelségét kedveloknek,magyar és külfüldi befektetoknek is kituno vétel, amennyiben egy maradandó értéket szeretne vásárolni a Belváros szívében!Irányára: 94.000.000 Ft","felújítandó","összkomfortos","nincs megadva","1","nincs megadva","van","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","külön helyiségben","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,"nincs megadva",NA
"24","V. kerület, Hold utca","269,42 ezer €","86 m²","2 + 1 fél","Budapest belvárosában, az V. kerület kiemelt részén, karnyújtásnyira a Parlamenttol és a Duna parttól kínálunk eladásra egy 1. emeleti, 86 nm-es, 2,5 szobás,  tágas terekkel, fürdo és különálló mellékhelyiséggel rendelkezo felújítandó nagypolgári, 3,8 m belmagasságú ingatlant. A lakás futését gázfutés biztosítja.Az épület kívülrol felújított állapotú, belso udvara rendezett, térkövezett, folyosói rendkívül szélesek, a lépcsoház színes,  egyedi stukkókkal díszített és lifttel rendelkezik.Az ingatlan az utca zajától mentes,rendkívül biztonságos, a környéken számos kultúrális létesítmény található.A lakóközösség kiváló, több ügyvédi iroda és egy magánklinika is megtalálható az épületben.Tökéletes otthon lehet a nyüzsgo belvárosi élet közelségét kedveloknek,magyar és külfüldi befektetoknek is kituno vétel, amennyiben egy maradandó értéket szeretne vásárolni a Belváros szívében!Irányára: 94.000.000 Ft","felújítandó","összkomfortos","nincs megadva","1","nincs megadva","van","3 m-nél magasabb","gáz (konvektor)","nincs","nincs megadva","nem","külön helyiségben","nincs megadva","udvari","nincs megadva","nem","nem tetotéri","utca, közterület",NA,"nincs megadva",NA
"25","XI. kerület, Kelenföld","94 millió Ft","105 m²","4 + 1 fél","Móricz Zsigmond körtéren szépen felújított nagypolgári ház elso emeletén 4+félszobás összkomfortos öröklakás ELADÓ! Kiváló lehetoségekkel bír (minden szoba külön bejáratú). A lakás befektetés céljára is alkalmas.A környék infrastrukturális ellátottsága kiemelkedoen jó, Buda kulturális központja,  Allee bevásárlóközpont, egyetemek és  sportolási lehetoségek, valamint a Gellért hegy és a Feneketlen-tó fantasztikus közelsége percek alatt elérhetoAz OTP Bank Vevoinket szükség és igény esetén kedvezményes hitelkonstrukció lehetoségeivel támogatja az ingatlan megvásárlásához, továbbá teljes köru ügyintézéssel állunk az eladók és a vevok rendelkezésére, az ügyintézés irodánkban kérheto. A kínálatunkból választott ingatlan finanszírozásához hitel- lízing megoldásokat kínálunk. Amennyiben felkeltettem érdeklodését, hívjon bizalommal! Ha az új ingatlana megvásárlásához a jelenlegi ingatlanát el kell adnia, abban is szívesen segítünk.M202873","közepes állapotú","összkomfortos","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","panorámás","3 m²","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"26","XI. kerület, Galambóc utca","94 millió Ft","70 m²","4","LK025234Eladó a 11. kerületben, egy 2004-ben épült 8 lakásos házban, egy II. emeleti+tetotér,  70 négyzetméteres, 90 négyzetméter hasznos területu, szép és napfényes, kocsibeállóval rendelkezo lakás.Lakás fo  jellemzoi: - A lakás tulajdoni lap szerint 70 nm-es , viszont a hasznos alap területe ferde falak levonásai után 90 nm. Alsószint 50 nm-es, tetotér 40 nm-es. - Helységek: tágas nappali amerikai konyhával, 3 háló szoba, 2 kádas fürdo+WC , 1 beépített szekrény, 1 kamra, fedett terasz. - Minden ablak redonnyel és szúnyoghálóval rendelkezik. - Beépített  ingóságok  ( szekrények és konyha bútor ) a vételár részt képezi . - Klíma helysége kivan alakítva, de nincsen beszerelve - Az ingatlan kocsi beállóval rendelkezik, annak az ára vételár részét képezi. - Terasz belso csöndes kertre néz. - A lakás napfényes. - Szomszédok csendesek és segítokészek. Lokáció és környék: - A lakás egy zsákutcában helyezkedik el, ennek köszönhetoen nagyon csendes helyen van. A környék nagyon tiszta és rendezett, minden mellette lévo épület új építésu. - Újbuda központ 10 percen belül megközelítheto, ahol minden bevásárlási és egyéb közszolgálati központok megtalálhatók, Allé bevásárlóközpont, Posta, Bankok, Lidl, Aldi, Spar, Fitness termek.  Költségek: - CC energetikai besorolású az ingatlan. -  Nagyon kedvezo rezsivel rendelkezik, külön víz és futés mérovel rendelkezik, átlagban 30 ezer forint az egész rezsi, közös költséggel együtt. 94000000 FtReferencia szám: LK025234","felújított","nincs megadva","nincs megadva","2","nincs megadva","nincs megadva","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"2001 és 2010 között",NA
"27","XI. kerület, Kelenföld","94 millió Ft","70 m²","4","Eladó a 11. kerületben, egy 2004-ben épült 8 lakásos házban, egy II. emeleti+tetotér,  70 négyzetméteres, 90 négyzetméter hasznos területu, szép és napfényes, kocsibeállóval rendelkezo lakás. Lakás fo  jellemzoi: - A lakás tulajdoni lap szerint 70 nm-es , viszont a hasznos alap területe ferde falak levonásai után 90 nm. Alsószint 50 nm-es, tetotér 40 nm-es. - Helységek: tágas nappali amerikai konyhával, 3 háló szoba, 2 kádas fürdo+WC , 1 beépített szekrény, 1 kamra, fedett terasz. - Minden ablak redonnyel és szúnyoghálóval rendelkezik. - Beépített  ingóságok  ( szekrények és konyha bútor ) a vételár részt képezi . - Klíma helysége kivan alakítva, de nincsen beszerelve - Az ingatlan kocsi beállóval rendelkezik, annak az ára 7.000.000 Ft kötelezoen megvásárolandó. - Terasz belso csöndes kertre néz. - A lakás napfényes. - Szomszédok csendesek és segítokészek. Lokáció és környék: - A lakás egy zsákutcában helyezkedik el, ennek köszönhetoen nagyon csendes helyen van. A környék nagyon tiszta és rendezett, minden mellette lévo épület új építésu. - Újbuda központ 10 percen belül megközelítheto, ahol minden bevásárlási és egyéb közszolgálati központok megtalálhatók, Allé bevásárlóközpont, Posta, Bankok, Lidl, Aldi, Spar, Fitness termek.  Költségek: - CC energetikai besorolású az ingatlan. -  Nagyon kedvezo rezsivel rendelkezik, külön víz és futés mérovel rendelkezik, átlagban 30 ezer forint az egész rezsi, közös költséggel együtt. Amennyiben felkeltette az ingatlan az érdeklodését, keressen bizalommal a hét bármely napján! Referenciaszám: LK025234","újszeru","nincs megadva","nincs megadva","2","2","nincs","nincs megadva","házközponti egyedi méréssel","nincs megadva","30 E Ft/hó","nincs megadva","nincs megadva","délkelet","nincs megadva","4 m²","nincs megadva","nincs megadva","udvari beálló",NA,"2001 és 2010 között",NA
